,vote_type,proposal_id,title,voted_choice,voting_power
165,token_house,0x86ccfd9ccce609cb27fdbd5b8344a8fee67805d896e75cbe127185c8d94656f1,Season 2 Governance Fund Proposal: Kromatika ,AGAINST,2170383.3903860087
166,token_house,0x88583c43b196ec86cee45345611b582108f1d6933ab688a7cae992a6baa552a6,Title: Special Voting Cycle #9b: Protocol Delegation Elections ,MULTIPLE,14629207.206239363
167,token_house,0x89ca6f762851897d1662f91284163d10a159fb22ba5c7a1f764338189824b038,Proposal F: Governance Fund Phase 1 - Balancer & BeethovenX,FOR,18143077.51329798
168,token_house,0x89ca6f762851897d1662f91284163d10a159fb22ba5c7a1f764338189824b038,Proposal F: Governance Fund Phase 1 - Balancer & BeethovenX,ABSTAIN,330434.97279250744
169,token_house,0x89ca6f762851897d1662f91284163d10a159fb22ba5c7a1f764338189824b038,Proposal F: Governance Fund Phase 1 - Balancer & BeethovenX,AGAINST,313597.5164732088
170,token_house,0x8a117727a5655a7aafe6ddada24be5fe63c68450c7cd70b755d84480b554fcb1,Proposal A: Optimistic Railway,AGAINST,12355716.17785128
171,token_house,0x8a117727a5655a7aafe6ddada24be5fe63c68450c7cd70b755d84480b554fcb1,Proposal A: Optimistic Railway,FOR,5352366.828375723
172,token_house,0x8a117727a5655a7aafe6ddada24be5fe63c68450c7cd70b755d84480b554fcb1,Proposal A: Optimistic Railway,ABSTAIN,819233.4665960367
173,token_house,0x8bd10fa2a38047fb65c6c4138cfed3f180fd9075888cac6d7f783728f4d93ae3,DeFi Committee [Group C],FOR,6825815.395362149
174,token_house,0x8bd10fa2a38047fb65c6c4138cfed3f180fd9075888cac6d7f783728f4d93ae3,DeFi Committee [Group C],ABSTAIN,5802668.556453626
175,token_house,0x8bd10fa2a38047fb65c6c4138cfed3f180fd9075888cac6d7f783728f4d93ae3,DeFi Committee [Group C],AGAINST,631486.4516135335
176,token_house,0x8d9f64ad44887ec43ecba44ca605912ab541ccff49012691f4a1e0c1b7ec9b05,Season 2: Cycle 7: Tarot,FOR,11871864.040982699
177,token_house,0x8d9f64ad44887ec43ecba44ca605912ab541ccff49012691f4a1e0c1b7ec9b05,Season 2: Cycle 7: Tarot,AGAINST,204972.31671790138
178,token_house,0x8d9f64ad44887ec43ecba44ca605912ab541ccff49012691f4a1e0c1b7ec9b05,Season 2: Cycle 7: Tarot,ABSTAIN,62406.99369003062
179,token_house,0x8ebe3b30462211e55f7f2d0ba60126f810c3a330b2b8aa935ea0f4c05dacb257,Proposal H: Governance Fund Phase 1 - WardenSwap,FOR,9261556.567307515
180,token_house,0x8ebe3b30462211e55f7f2d0ba60126f810c3a330b2b8aa935ea0f4c05dacb257,Proposal H: Governance Fund Phase 1 - WardenSwap,AGAINST,4185297.8915883154
181,token_house,0x8ebe3b30462211e55f7f2d0ba60126f810c3a330b2b8aa935ea0f4c05dacb257,Proposal H: Governance Fund Phase 1 - WardenSwap,ABSTAIN,3104340.693551466
182,token_house,0x8ef075d11b27be16304a97956e821bb34468556b6221990c67aa8c805e8c96a2,Proposal Q: Governance Fund Phase 1 - Candide,FOR,10004605.458958425
183,token_house,0x8ef075d11b27be16304a97956e821bb34468556b6221990c67aa8c805e8c96a2,Proposal Q: Governance Fund Phase 1 - Candide,AGAINST,7997161.872977573
184,token_house,0x8ef075d11b27be16304a97956e821bb34468556b6221990c67aa8c805e8c96a2,Proposal Q: Governance Fund Phase 1 - Candide,ABSTAIN,49459.80042037245
185,token_house,0x95cb4cbd872dfa3ab9490fff6736b90e518faba120dacb7035ded44aff622757,Proposal A: Governance Fund Phase 0 - Batch Vote,FOR,19911994.11422237
186,token_house,0x95cb4cbd872dfa3ab9490fff6736b90e518faba120dacb7035ded44aff622757,Proposal A: Governance Fund Phase 0 - Batch Vote,AGAINST,5081796.627571682
187,token_house,0xa37475924ddd3a55b875da4f852b3498176cc590f6776440ab1225e63fe2e25f,Proposal C: Governance Fund Phase 0 - 0x,FOR,16655818.70838833
188,token_house,0xa37475924ddd3a55b875da4f852b3498176cc590f6776440ab1225e63fe2e25f,Proposal C: Governance Fund Phase 0 - 0x,AGAINST,4523491.835677789
189,token_house,0xa497af11ab31e638d38bcf6d57689a5729bf66ee1c3fd89f20bcd7d9e6fa6d4b,Proposal E: Governance Phase 1 - Dope Wars ,AGAINST,12315788.07499175
190,token_house,0xa497af11ab31e638d38bcf6d57689a5729bf66ee1c3fd89f20bcd7d9e6fa6d4b,Proposal E: Governance Phase 1 - Dope Wars ,FOR,4925594.551444928
191,token_house,0xa497af11ab31e638d38bcf6d57689a5729bf66ee1c3fd89f20bcd7d9e6fa6d4b,Proposal E: Governance Phase 1 - Dope Wars ,ABSTAIN,35409.26404142225
192,token_house,0xa5e1b6d13f305ae07d3f3e8bd7494ab55313fce6ee386d477295c8ce4b859614,Proposal E: Governance Phase 1 - Byte Mason Product Suite,AGAINST,7890680.350953059
193,token_house,0xa5e1b6d13f305ae07d3f3e8bd7494ab55313fce6ee386d477295c8ce4b859614,Proposal E: Governance Phase 1 - Byte Mason Product Suite,ABSTAIN,7221451.899521289
194,token_house,0xa5e1b6d13f305ae07d3f3e8bd7494ab55313fce6ee386d477295c8ce4b859614,Proposal E: Governance Phase 1 - Byte Mason Product Suite,FOR,3745051.478426656
195,token_house,0xa9457a5344747a6c272de786419fc7a4e83fcf0f927ef9b1ce767452faa9b453,Title: Special Voting Cycle #9b: Grants Council Elections - Growth Experiments ,MULTIPLE,16481503.661784394
196,token_house,0xac7ba616ebee96930f313ddb4b75de9024ff88f17bf3c82ca783d904ab38d551,Season 2 Governance Fund Proposal: Bankless Academy v2 ,FOR,11271773.422163937
