,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,proposalId,reason,support,voter,weight
34,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x86134b5c562d1c20ee13aae79f9321e846f655c3e64dd635f47743089bb3377c,0x0878d5b11233933e641865bc9227c0ecddbe8c97,0xcdf27f107725988f2261ce2256bdfcde8b382b10,144,2024-05-26 06:02:27.000 UTC,120552285.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,1,0x0878d5b11233933e641865bc9227c0ecddbe8c97,658575944504464524
35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xebcc0f9d3263f7422be67bde77df9a9d3091fb87401a683ddffe3f768fe33447,0x9bdbf758a78803333493cfbfb572aa72d22e426c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,38,2024-05-26 06:02:25.000 UTC,120552284.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,1,0x9bdbf758a78803333493cfbfb572aa72d22e426c,1000003078568022797
36,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x9cac9f9c872e9377a8c2b2b9edf011c258d2b94c8b887b8e1e98e803a355b80b,0x40784a7b89d3c82862baf1845c6a94716018cef8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,85,2024-05-26 06:02:23.000 UTC,120552283.0,2024-05-26,4537769538885163906898768401836322976193114338273264147746088063279656611139,,1,0x40784a7b89d3c82862baf1845c6a94716018cef8,141268935168199819421
37,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x9eb0dcc1dd965697afbed0960f92fb6d2e99668dfb61bed304b562084e221622,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,0xcdf27f107725988f2261ce2256bdfcde8b382b10,34,2024-05-26 06:03:27.000 UTC,120552315.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,1,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,1000088897751513946
38,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xea43061476b77c751d78c57b0b07daafff1ae662568106c479c73ad6d921b679,0x40784a7b89d3c82862baf1845c6a94716018cef8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,113,2024-05-26 06:03:31.000 UTC,120552317.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,Appointing the Foundation to the Deputy Guardian role further strengthens trust in the network.,1,0x40784a7b89d3c82862baf1845c6a94716018cef8,141268935168199819421
39,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf1d69e1d9e0dcc72c415a81342ea56664b231f29f9f3bbc1cc7ac001dd33abc3,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,37,2024-05-26 06:03:47.000 UTC,120552325.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
40,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x11a732c94d91f937eaffbfcb0ae10cd899f453df2d6b5968907b651099d21246,0x12cc2273ae9929fde04a8960cb64aa72ef43c078,0xcdf27f107725988f2261ce2256bdfcde8b382b10,66,2024-05-26 06:04:01.000 UTC,120552332.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,,1,0x12cc2273ae9929fde04a8960cb64aa72ef43c078,6649859546742721508
41,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xd6af25f9342163e236e76b35e8f603b1be4fbbf5860285de07a531ec7467b62f,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,35,2024-05-26 06:04:05.000 UTC,120552334.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
42,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xadd3b23ceada217c36787ba94f5979121fccce8761f07e5542044665ba49a2e8,0x40784a7b89d3c82862baf1845c6a94716018cef8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,203,2024-05-26 06:04:19.000 UTC,120552341.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,,1,0x40784a7b89d3c82862baf1845c6a94716018cef8,141268935168199819421
43,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x8f5483f5dd98d0a09c45c214345823743ffcc558118e3814554186d0bd1067bc,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,6,2024-05-26 06:04:29.000 UTC,120552346.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
